OBJECTID,ZONING,created_user,created_date,last_edited_user,last_edited_date,STR_TYPE_1,STR_TYPE_2,STR_TYPE_3,Muni_Hyperlink,Muni_Hyperlink_Uses,Shape__Area,Shape__Length
3477,B-2M,PLANNING,2019/07/16 19:05:15+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,118969.13239243,1582.97596337913
3478,REMU,PLANNING,2019/07/16 19:06:12+00,BOZEMAN,2024/12/17 23:54:02+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,531218.19068626,3288.473295271
6678,R-5,PLANNING,2021/02/25 22:42:11+00,BOZEMAN,2021/12/01 23:36:54+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,34712.99843496,927.754758348468
6679,REMU,PLANNING,2021/02/25 22:50:43+00,BOZEMAN,2024/12/17 23:54:02+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,20034.885257015,772.769171410967
6680,REMU,PLANNING,2021/02/25 22:56:05+00,BOZEMAN,2024/12/17 23:54:02+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,17214.62022585,687.273377096242
7478,R-4,PLANNING,2021/05/13 15:24:55+00,BOZEMAN,2025/10/15 14:52:29+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,315333.10510683,2382.42731465916
7883,R-5,BOZEMAN,2021/12/01 22:03:28+00,BOZEMAN,2021/12/01 22:03:28+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,64782.74701572,1248.40422878735
7888,REMU,BOZEMAN,2021/12/01 22:36:04+00,BOZEMAN,2024/12/17 23:54:02+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI
",12170.200530975,541.471862858998
7898,R-4,BOZEMAN,2021/12/01 22:48:17+00,BOZEMAN,2025/01/06 23:29:36+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,23956.666066515,874.197859616373
7900,B-2M,BOZEMAN,2021/12/01 22:48:17+00,BOZEMAN,2025/01/06 23:48:27+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,49965.615079845,974.319885059609
7926,R-5,BOZEMAN,2021/12/06 15:54:53+00,BOZEMAN,2021/12/06 15:54:53+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,36064.241159015,778.240718713961
7929,R-5,BOZEMAN,2021/12/06 16:08:07+00,BOZEMAN,2024/09/05 23:50:59+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,29935.50147125,765.50250020727
7931,R-4,BOZEMAN,2021/12/06 18:27:57+00,BOZEMAN,2021/12/06 18:27:57+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,12313.310935625,463.168295743408
7934,R-4,BOZEMAN,2021/12/06 18:32:22+00,BOZEMAN,2021/12/06 18:32:22+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,8103.01967035,361.397572519164
7935,R-5,BOZEMAN,2021/12/06 18:32:22+00,BOZEMAN,2021/12/06 18:32:22+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,14144.61511959,484.757186203492
7939,B-2M,BOZEMAN,2022/01/13 22:42:08+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,31581.88750758,742.279923813225
7943,M-2,BOZEMAN,2022/01/24 23:13:05+00,BOZEMAN,2022/01/24 23:14:10+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.120INZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,29249.15935221,1262.34112182124
7945,B-2M,BOZEMAN,2022/02/18 17:17:39+00,BOZEMAN,2024/12/31 21:38:31+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,621855.219307055,7372.33887715535
7960,R-2,BOZEMAN,2022/04/08 18:57:09+00,BOZEMAN,2024/12/17 23:52:18+00,YES,YES,NO,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU
","PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI
",2229.78055679,243.629241913224
7961,B-2M,BOZEMAN,2022/04/29 16:33:52+00,BOZEMAN,2024/12/18 23:09:19+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,40806.512128045,895.142349474036
7966,REMU,BOZEMAN,2022/04/29 16:36:01+00,BOZEMAN,2025/01/06 23:29:36+00,YES,YES,NO,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.110COMIEZODINTPU
","PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI
",7191.64610561,452.060708162302
7967,R-5,BOZEMAN,2022/04/29 16:36:01+00,BOZEMAN,2022/09/01 22:01:49+00,YES,YES,NO,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU
","PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI
",19544.876866175,620.664760080659
7968,R-2,BOZEMAN,2022/06/03 15:21:54+00,BOZEMAN,2025/05/01 15:49:41+00,YES,YES,NO,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU
","PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI
",113770.21177548,1994.66610231892
7970,R-1,BOZEMAN,2022/06/03 15:35:05+00,BOZEMAN,2025/05/01 15:52:31+00,YES,NO,NO,"PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU
","PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI
",56986.39734612,1389.52055662215
