nominaldiameter,facilityid,capacity_notes,life,rehab_project,capacity,feet_len,material,design_link,name,comment,install_date,sliplined,maintenance,objectid,rehab_year
8,H0569_H0570,,Active,,Less than 50 pct obligated,359.97403141,VCP,,SID 342,Sliplined,1947,YES,City of Bozeman,2441,
8,H0562_H0563,,Active,,Less than 50 pct obligated,359.6901009,VCP,,SID 343,Sliplined,1947,YES,City of Bozeman,2442,
8,H0568_H0569,,Active,,Less than 50 pct obligated,327.30052695,VCP,,SID 342,Sliplined,1947,YES,City of Bozeman,2443,
8,H0567_H0568,,Active,,Less than 50 pct obligated,64.22877475,VCP,,SID 342,Sliplined,1947,YES,City of Bozeman,2444,
8,H0561_H0562,,Active,,Less than 50 pct obligated,359.18278408,VCP,,SID 343,Sliplined,1947,YES,City of Bozeman,2445,
10,H0537_H0538,,Abandoned,,Less than 50 pct obligated,355.39543373,VCP,,SID 432,Sliplined,1963,YES,Other,2446,
10,H0535_H0536,,Active,,Less than 50 pct obligated,262.89011226,VCP,,SID 432,Sliplined,1963,YES,City of Bozeman,2447,
15,I0308_I0309,,Active,,50 to 75 pct obligated,296.37833903,PVC,,Durston Road Improvements,,2006,,City of Bozeman,2448,
15,I0307_I0308,,Active,,Less than 50 pct obligated,290.99332126,PVC,,Durston Road Improvements,,2006,,City of Bozeman,2449,
15,I0306_I0307,,Active,,Less than 50 pct obligated,296.10791165,PVC,,SID 432,,1963,,City of Bozeman,2450,
10,I0421_I0308,,Active,,50 to 75 pct obligated,398.02662757,VCP,,SID 432,,1963,,City of Bozeman,2451,
10,I0420_I0421,,Active,,Less than 50 pct obligated,397.87959049,VCP,,SID 432,,1963,,City of Bozeman,2452,
10,I0419_I0420,,Active,,Less than 50 pct obligated,401.84210538,VCP,,SID 432,,1963,,City of Bozeman,2453,
8,I0407_I0307,,Active,,Less than 50 pct obligated,322.29252347,PVC,,SID 529,,1973,,City of Bozeman,2454,
8,I0406_I0407,,Active,,Less than 50 pct obligated,324.46173631,PVC,,SID 529,,1973,,City of Bozeman,2455,
8,I0405_I0406,,Active,,Less than 50 pct obligated,323.99853374,PVC,,SID 529,,1973,,City of Bozeman,2456,
8,H0404_H0302,,Active,,50 to 75 pct obligated,324.1129101,VCP,,SID 439,,1964,,City of Bozeman,2457,
8,H0403_H0404,,Active,,Less than 50 pct obligated,333.27448963,VCP,,SID 439,,1964,,City of Bozeman,2458,
8,H0402_H0403,,Active,,Less than 50 pct obligated,313.90707611,VCP,,SID 439,,1964,,City of Bozeman,2459,
8,H0401_H0402,,Active,,Less than 50 pct obligated,333.97036102,VCP,,SID 439,,1964,,City of Bozeman,2460,
